Pharmacie,Adresse_Complete,Telephone,Deja_Contacte,RDV,Action,Distance_Cite_Universitaire_km,Coordonnees,VUE
Pharmacie Saint-Blaise,"117 Rue de Bagnolet, 75020 Paris, France",+33 1 43 71 43 99,non,,,6.418081611035514,"48.859991, 2.4035004",non
Pharmacie Rouche,"Rue de Berri, 75008 Paris, France",Non renseigné,non,,,6.4202469599222525,"48.8745382, 2.3080937",non
Pharmacie Pharmavance,"Rue Marie-Éléonore de Bellefond, 75009 Paris, France",Non renseigné,non,,,6.421722405778677,"48.8782291, 2.3451211",non
Pharmacie Moreau,"Rue Decamps, 75116 Paris, France",Non renseigné,non,,,6.458971481995422,"48.865253, 2.2829502",non
Pharmacie Bui Champenois,"Boulevard de la Villette, 75010 Paris, France",Non renseigné,non,,,6.461539271383336,"48.8739053, 2.3745589",non
Pharmacie du Parc des Princes,"Place du Général Stefanik, 75016 Paris, France",Non renseigné,non,,,6.475396159473703,"48.8401003, 2.2560437",non
Pharmacie Centrale Martyrs,"36 Rue des Martyrs, 75009 Paris, France",+33 1 48 78 10 04,non,,,6.477424871764455,"48.8788518, 2.3399394",non
Pharmacie Homéopatique Maubeuge,"Rue de Maubeuge, 75009 Paris, France",Non renseigné,non,,,6.4824926085125085,"48.8787013, 2.34668",non
Lafayette,"Rue de Longchamp, 75116 Paris, France",Non renseigné,non,,,6.482991657428637,"48.8655162, 2.282918",non
Pharmacie Saint-Georges,"Rue Laferrière, 75009 Paris, France",Non renseigné,non,,,6.49500086494957,"48.8789901, 2.3370287",non
Pharmacie Wolff,"Rue Saint-Blaise, 75020 Paris, France",Non renseigné,non,,,6.4965898676163745,"48.8573471, 2.4084118",non
Pharmacie Sambre et Meuse,"Rue de Sambre et Meuse, 75010 Paris, France",Non renseigné,non,,,6.498488271401665,"48.8746172, 2.3732994",non
Pharmacie Centrale du Nord,"Rue La Fayette, 75010 Paris, France",Non renseigné,non,,,6.5002683238794505,"48.8782951, 2.3537083",non
Pharmacie de l'Europe,"31 Rue d'Amsterdam, 75008 Paris, France",Non renseigné,non,,,6.511307720643987,"48.8785701, 2.3268262",non
Pharmacie Issoulie,"Rue Treilhard, 75008 Paris, France",Non renseigné,non,,,6.515154283872641,"48.8770027, 2.3152869",non
Pharmacie Attuil - Giffard,"85 Rue de Ménilmontant, 75020 Paris, France",Non renseigné,non,,,6.524388991672203,"48.868867, 2.3900956",non
Pharmacie La Bienfaisance,"Rue Treilhard, 75008 Paris, France",Non renseigné,non,,,6.525273629256554,"48.8766669, 2.3130694",non
Pharmacie Pecker,"Rue La Bruyère, 75009 Paris, France",Non renseigné,non,,,6.529789498647754,"48.8792406, 2.334651",non
Pharmacie des Belles Feuilles,"Rue Saint-Didier, 75116 Paris, France",+33 1 47 27 14 72,non,,,6.54582667711901,"48.8668133, 2.2839901",non
Pharmacie du Square,"Square des Cardeurs, 75020 Paris, France",Non renseigné,non,,,6.548483537640763,"48.8587751, 2.4075335",non
Pharmacie du Triangle,"Avenue de Friedland, 75008 Paris, France",Non renseigné,non,,,6.557559765842351,"48.8750379, 2.3049347",non
Pharmacie Du Docteur Blanche,"Rue du Docteur Blanche, 75016 Paris, France",+33 1 46 47 82 90,non,,,6.558032412074698,"48.8534396, 2.2649713",non
Pharmacie Gambetta,"Place Gambetta, 75020 Paris, France",Non renseigné,non,,,6.565891790962393,"48.8647092, 2.3990492",non
Pharmacie Turgot,"Rue Marguerite de Rochechouart, 75009 Paris, France",Non renseigné,non,,,6.568748719991776,"48.8795145, 2.3459962",non
Pharmacie des Gâtines,"Rue des Gâtines, 75020 Paris, France",Non renseigné,non,,,6.572769916495029,"48.8654901, 2.3978337",non
Pharmacie Derhy,"Rue de Presbourg, 75008 Paris, France",Non renseigné,non,,,6.578472095602474,"48.8727673, 2.2969966",non
Pharmacie du Dome,"33 Rue Lauriston, 75116 Paris, France",+33 9 53 23 74 75,non,,,6.580807572134109,"48.8707344, 2.2916096",non
Pharmacie Sok,"Rue de Belleville, 75020 Paris, France",Non renseigné,non,,,6.582206209699779,"48.8730284, 2.3811633",non
Pharmacie Étoile-Iéna,"Rue la Pérouse, 75116 Paris, France",+33 1 45 00 60 66,non,,,6.58302449037135,"48.8720178, 2.2948076",non
Grande Pharmacie de la Pompe,"Rue Decamps, 75116 Paris, France",+33 1 45 04 73 46,non,,,6.583506552710305,"48.8629455, 2.2765257",non
Pharmacie Nadjar,"Boulevard Davout, 75020 Paris, France",Non renseigné,non,,,6.585254091773841,"48.8569651, 2.4104184",non
pharmacie traditionnelle chinoise,"Rue Rampal, 75019 Paris, France",Non renseigné,non,,,6.591895569431554,"48.8735594, 2.3798822",non
Pharmacie Friedland,"Rue Balzac, 75008 Paris, France",+33 1 45 61 12 78,non,,,6.593314422054147,"48.8741131, 2.3005904",non
Pharmacie Cohen Solal,"Rue de Belzunce, 75010 Paris, France",Non renseigné,non,,,6.597194459590914,"48.8795477, 2.3496189",non
Pharmacie Centrale,"Rue de Maubeuge, 75009 Paris, France",Non renseigné,non,,,6.599183532692602,"48.8796192, 2.3488789",non
Pharmacie de la Mairie,"82 Rue de la Pompe, 75116 Paris, France",Non renseigné,non,,,6.6097955767511305,"48.8637003, 2.2771979",non
Pharmacie de Liège,"Rue de Liège, 75008 Paris, France",Non renseigné,non,,,6.613627155428712,"48.8794888, 2.3267113",non
Pharmacie Boiron,"Boulevard Malesherbes, 75008 Paris, France",Non renseigné,non,,,6.619912274973984,"48.8781681, 2.3163408",non
Pharmacie du Casino de Paris,"Rue de Liège, 75009 Paris, France",+33 1 48 74 65 16,non,,,6.62303492682577,"48.8797698, 2.3290246",non
Pharmacie Anglaise,"Rue de Compiègne, 75010 Paris, France",Non renseigné,non,,,6.637116270592868,"48.8795579, 2.3535539",non
Grande Pharmacie Massé,"Rue Victor Massé, 75009 Paris, France",+33 1 48 78 33 14,non,,,6.647613609149826,"48.8803813, 2.3401661",non
Pharmacie des Théâtres,"Rue Chaptal, 75009 Paris, France",Non renseigné,non,,,6.6758048314956095,"48.8805625, 2.3348575",non
Pharmacie CHY HAC,"Rue des Pyrénées, 75020 Paris, France",Non renseigné,non,,,6.682016148957222,"48.8673603, 2.3967522",non
Pharmacie Goncourt,"Rue de la Grange aux Belles, 75010 Paris, France",Non renseigné,non,,,6.68864863958617,"48.8774044, 2.3694714",non
Pharmanord,"Rue de Dunkerque, 75010 Paris, France",Non renseigné,non,,,6.690940307853817,"48.8795773, 2.3575395",non
Nom inconnu,"Rue Pelleport, 75020 Paris, France",Non renseigné,non,,,6.697615509272759,"48.8631993, 2.4041024",non
Pharmacie Rébeval,"Rue Rébeval, 75019 Paris, France",Non renseigné,non,,,6.6991033060822955,"48.8746967, 2.3796965",non
Pharmacie des Arts,"Rue Victor Massé, 75009 Paris, France",Non renseigné,non,,,6.701289173032188,"48.8808537, 2.3375391",non
Grande Pharmacie de Maubeuge,"Rue de Maubeuge, 75010 Paris, France",Non renseigné,non,,,6.701411922692116,"48.8802984, 2.351954",non
Pharmacie Place Victor Hugo,"1 Place Victor Hugo, 75116 Paris, France",Non renseigné,non,,,6.707149518044975,"48.8696653, 2.2860871",non
Pharmacie du métro,"Boulevard de la Villette, 75010 Paris, France",Non renseigné,non,,,6.7154961448187205,"48.877421, 2.370499",non
Pharmacie Homéopathique Centrale,"Rue de la Pompe, 75116 Paris, France",Non renseigné,non,,,6.723983161733216,"48.8670689, 2.2806034",non
Pharmacie 111,"111 Avenue Victor Hugo, 75116 Paris, France",Non renseigné,non,,,6.742697757357655,"48.8684878, 2.282875",non
PharmAvance,"Rue de Belleville, 75020 Paris, France",+33 1 46 36 69 04,non,,,6.752462012671873,"48.8735729, 2.3845184",non
Pharmacie de Dunkerque,"Rue de Dunkerque, 75009 Paris, France",Non renseigné,non,,,6.763836587984821,"48.8810488, 2.3497146",non
Pharmacie Basire,"2 Rue des Belles Feuilles, 75116 Paris, France",Non renseigné,non,,,6.783402088943699,"48.8680015, 2.2810489",non
Pharmacie du Parc Monceau,"Rue de Courcelles, 75008 Paris, France",Non renseigné,non,,,6.784410626632694,"48.8774923, 2.3059009",non
Pharmacie Moderne,"Rue du Rocher, 75008 Paris, France",Non renseigné,non,,,6.785295405651105,"48.8799596, 2.3179042",non
Pharmacie Amsallem,"Rue de Moscou, 75008 Paris, France",Non renseigné,non,,,6.792871057205494,"48.8808916, 2.3244418",non
Pharmacie Lamartine,"Avenue Victor Hugo, 75116 Paris, France",+33 1 47 27 87 85,non,,,6.795795397532203,"48.867603, 2.2800442",non
PharmAvance,"Rue des Pyrénées, 75020 Paris, France",+33 1 40 31 91 01,non,,,6.806847586279602,"48.8697159, 2.3949194",non
Pharmacie des Écoles,"Avenue Simón Bolívar, 75019 Paris, France",Non renseigné,non,,,6.81472506716224,"48.877532, 2.3738783",non
Pharmacie du métro Pyrénées,"Cour de la Métairie, 75020 Paris, France",Non renseigné,non,,,6.814791351718569,"48.8738082, 2.385616",non
Pharmacie Internationale,"Paris, France",Non renseigné,non,,,6.820030013458174,"48.881922, 2.337556",non
Pharmacie des Artistes,"Boulevard de Clichy, 75009 Paris, France",+33148784043,non,,,6.820101870800869,"48.8819337, 2.3388813",non
Pharmacie Victor Hugo,"Rue Thiers, 75116 Paris, France",+33 1 47 27 68 14,non,,,6.826811593047719,"48.8666021, 2.2776192",non
Pharmacie Rivaux et Arbaut,"Rue Belgrand, 75020 Paris, France",Non renseigné,non,,,6.844993419180739,"48.8647822, 2.4045312",non
Pharmacie Nord-Magenta,"Boulevard de Magenta, 75010 Paris, France",Non renseigné,non,,,6.849524241161053,"48.8817355, 2.3508654",non
Pharmacie d'Anvers,"Rue de Dunkerque, 75009 Paris, France",Non renseigné,non,,,6.8495376466586375,"48.8820386, 2.3461591",non
Pharmacie Seguin,"Rue de la Tour, 75116 Paris, France",Non renseigné,non,,,6.850529459993907,"48.8637245, 2.2725469",non
Nom inconnu,"Avenue Simón Bolívar, 75019 Paris, France",Non renseigné,non,,,6.858569819098431,"48.875452, 2.3822672",non
Pharmacie de la Mare,"71 Rue de la Mare, 75020 Paris, France",Non renseigné,non,,,6.868508304482199,"48.8729928, 2.3891191",non
Pharmacie de l'Avenir,"Rue des Chaufourniers, 75019 Paris, France",Non renseigné,non,,,6.8724776717534,"48.8782025, 2.373445",non
Pharmacie Bensoussan,"Rue La Fayette, 75010 Paris, France",Non renseigné,non,,,6.88043814313355,"48.8806948, 2.3618078",non
Pharmacie Doumerc,"Rue Alexandre Parodi, 75010 Paris, France",+33 1 46 07 34 71,non,,,6.880524392691383,"48.880262, 2.3643405",non
Pharmacie de l'Arc de Triomphe,"Avenue de Wagram, 75008 Paris, France",Non renseigné,non,,,6.881214658684002,"48.8757513, 2.2967422",non
Pharmacie Lafayette La Bellevilloise,"Rue de Belleville, 75020 Paris, France",Non renseigné,non,,,6.88892087390274,"48.8743127, 2.3863159",non
Pharmacie du Haut Mesnil,"Rue de Ménilmontant, 75020 Paris, France",Non renseigné,non,,,6.901437932767281,"48.870061, 2.3963739",non
Pharmacie de l'Étoile,"Avenue de la Grande Armée, 75116 Paris, France",Non renseigné,non,,,6.912498825267876,"48.8743633, 2.291973",non
Pharmacie Cohen,"Avenue Hubert Germain, 75116 Paris, France",+33 1 47 27 54 77,non,,,6.915379130924645,"48.8703665, 2.2827253",non
Pharmacie Charrier & Lorenzo,"38 Boulevard de Clichy, 75018 Paris, France",Non renseigné,non,,,6.924172280942094,"48.8828427, 2.3365686",non
Pharmacie Japkowicz,"Avenue Gambetta, 75020 Paris, France",Non renseigné,non,,,6.928763098990142,"48.8679653, 2.4009222",non
Pharmacie Paris-Magenta,"156 Boulevard de Magenta, 75010 Paris, France",Non renseigné,non,,,6.937047133079363,"48.8825369, 2.3507603",non
Pharmacie Monge,"70 Boulevard de Rochechouart, 75018 Paris, France",+33 183810804,non,,,6.950745734737223,"48.8830394, 2.3438996",non
Pharmacie Pyrénées-Jourdain,"Rue des Pyrénées, 75020 Paris, France",Non renseigné,non,,,6.959551990322054,"48.8738767, 2.3893147",non
Pharmacie Internationale de Paris,"Boulevard Marguerite de Rochechouart, 75009 Paris, France",Non renseigné,non,,,6.976976203321777,"48.8831344, 2.3472146",non
Pharmacie Principale,"Rue de la Villette, 75019 Paris, France",Non renseigné,non,,,6.979399501069321,"48.8747858, 2.3875414",non
Pharmacie Sébag,"Allée Georges Recipon, 75019 Paris, France",Non renseigné,non,,,6.991913336798889,"48.8796517, 2.3722324",non
Pharmacie Chaptal,"78 Boulevard des Batignolles, 75017 Paris, France",+33 1 43 87 28 58,non,,,6.993161627460177,"48.8820895, 2.319335",non
Pharmacie Haim,"Avenue Gambetta, 75020 Paris, France",Non renseigné,non,,,6.9997703320469284,"48.8683712, 2.401694",non
Pharmacie des Acacias,"Boulevard des Batignolles, 75008 Paris, France",+0143873563,non,,,7.004249396838958,"48.8829212, 2.3254797",non
Pharmacie Dalibard,"Rue Dufrénoy, 75116 Paris, France",Non renseigné,non,,,7.0048488668883495,"48.8663312, 2.2735664",non
Pharmacie Wagram,"Rue du Faubourg Saint-Honoré, 75008 Paris, France",Non renseigné,non,,,7.005713243861187,"48.8775261, 2.2983719",non
Pharmacie de la Providence,"Rue d'Orsel, 75018 Paris, France",Non renseigné,non,,,7.010613917316713,"48.8836473, 2.3398403",non
Grande Pharmacie de la Place Blanche,"Place Blanche, 75009 Paris, France",Non renseigné,non,,,7.012483706303688,"48.883486, 2.3321884",non
Espace santé,"Rue Belgrand, 75020 Paris, France",Non renseigné,non,,,7.019612816921369,"48.8646358, 2.408131",non
Pharmacie du Carrefour,"Boulevard Marguerite de Rochechouart, 75009 Paris, France",Non renseigné,non,,,7.019946514039836,"48.8834278, 2.3488057",non
Pharmacie de Villiers,"Avenue de Villiers, 75017 Paris, France",Non renseigné,non,,,7.025022166739596,"48.881753, 2.315289",non
Pharmacie 217,"Rue La Fayette, 75010 Paris, France",+33 1 46 07 86 44,non,,,7.027200633597044,"48.8815178, 2.364961",non
Pharmacie Fermon,"Boulevard des Batignolles, 75017 Paris, France",+33186900930,non,,,7.034035120410273,"48.8830214, 2.3238111",non
Selarl Pharmacie Européenne,"6 Place de Clichy, 75009 Paris, France",Non renseigné,non,,,7.034160727856608,"48.8834171, 2.3280471",non
Pharmacie Mac Mahon,"Avenue Mac-Mahon, 75017 Paris, France",+33 1 43 80 35 25,non,,,7.0419935017330495,"48.8767367, 2.2948514",non
Pharmacie d'Orsel,"Rue Seveste, 75018 Paris, France",Non renseigné,non,,,7.046531789061627,"48.8838749, 2.3447014",non
Pharmacie de la Faisanderie,"Rue de Longchamp, 75116 Paris, France",Non renseigné,non,,,7.0524052815854645,"48.8681867, 2.2756876",non
Pharmacie de Courcelles,"Rue Théodule Ribot, 75017 Paris, France",Non renseigné,non,,,7.06029578537651,"48.8790537, 2.3017209",non
Pharmacie 137,"137 Rue de Belleville, 75019 Paris, France",+33 1 42 08 70 06,non,,,7.066974252413648,"48.8751346, 2.3889962",non
Pharmacie Ahoudayg,"Rue de Clignancourt, 75018 Paris, France",Non renseigné,non,,,7.0716184913641005,"48.8840049, 2.3468986",non
Leadersanté,"Avenue de la Porte de Bagnolet, 75020 Paris, France",+33143614309,non,,,7.082418046834957,"48.864397, 2.409669",non
Pharmacie de la Rotonde,"Rue de Logelbach, 75017 Paris, France",Non renseigné,non,,,7.087046341409833,"48.881085, 2.3088634",non
Pharmacie Lorraine,"Avenue de Wagram, 75017 Paris, France",Non renseigné,non,,,7.099094293328035,"48.8786073, 2.2988738",non
La Pharmacie,"Rue Saint-Fargeau, 75020 Paris, France",Non renseigné,non,,,7.105226030142199,"48.8708797, 2.3993215",non
Pharmacie Générale,"11 Rue Lepic, 75018 Paris, France",Non renseigné,non,,,7.128360391830148,"48.8845806, 2.3332877",non
Pharmacie de la Croix d'Or,"Rue de Courcelles, 75017 Paris, France",Non renseigné,non,,,7.128509954571743,"48.8798448, 2.3021779",non
Pharmacie Lafayette du Village,"Rue de Belleville, 75019 Paris, France",+33 1 42 06 14 12,non,,,7.136826896071859,"48.8754662, 2.3900096",non
Pharmacie de la Terrasse,"Rue de la Terrasse, 75017 Paris, France",Non renseigné,non,,,7.137911335557868,"48.8827159, 2.3147856",non
Pharmacie Saint-Fargeau Gambetta,"Avenue Gambetta, 75020 Paris, France",Non renseigné,non,,,7.140553160387755,"48.8694842, 2.4026771",non
Pharmacie Grosicki,"Rue Olivier Métra, 75020 Paris, France",Non renseigné,non,,,7.1512108124427485,"48.8744982, 2.3927178",non
Grande pharmacie des Dames,"Rue des Dames, 75017 Paris, France",Non renseigné,non,,,7.154582567053948,"48.8837964, 2.3210243",non
Pharmacie Robert,"Rue de Meaux, 75019 Paris, France",Non renseigné,non,,,7.158366035032846,"48.8810222, 2.3731608",non
Pharmacie Française,"Rue des Acacias, 75017 Paris, France",Non renseigné,non,,,7.165394336548572,"48.8771861, 2.2925485",non
Nom inconnu,"Avenue Gambetta, 75020 Paris, France",Non renseigné,non,,,7.166905213865981,"48.8698537, 2.402572",non
Pharmacie Métro La Chapelle,"Rue Perdonnet, 75010 Paris, France",Non renseigné,non,,,7.16770827367701,"48.8835841, 2.3602483",non
Pharmacie des Abesses,"Rue des Abbesses, 75018 Paris, France",Non renseigné,non,,,7.18331712697117,"48.8851813, 2.336968",non
Pharmacie 24,"Avenue Mac-Mahon, 75017 Paris, France",+33 1 43 80 11 96,non,,,7.197095153232641,"48.8782012, 2.2945395",non
Pharmacie des 3 Avenues,"Avenue des Ternes, 75017 Paris, France",+33 1 46 22 28 12,non,,,7.20446221309039,"48.8783435, 2.2947415",non
Pharmacie du Marché Poncelet,"Rue Poncelet, 75017 Paris, France",Non renseigné,non,,,7.204737036794056,"48.8792819, 2.2976526",non
Pharmacie des 3 Quartiers,"Rue Capron, 75018 Paris, France",+33 1 45 22 16 48,non,,,7.2050698199259,"48.8848786, 2.3269713",non
Grande Pharmacie Duret,"Rue Duret, 75116 Paris, France",Non renseigné,non,,,7.213923725453667,"48.8752949, 2.2863783",non
Pharmacie Secrétan,"Avenue Secrétan, 75019 Paris, France",Non renseigné,non,,,7.222561129627836,"48.8819055, 2.3720179",non
Pharmacie de la Butte Montmartre,"Rue Lepic, 75018 Paris, France",Non renseigné,non,,,7.2293785823652295,"48.885539, 2.3346124",non
Pharmacie Gatti,"Place de Lévis, 75017 Paris, France",+33142274951,non,,,7.22975401392596,"48.883313, 2.313319",non
Pharmacie de la Mairie,"Rue Mariotte, 75017 Paris, France",+33 1 45 22 52 78,non,,,7.231974530380492,"48.8845426, 2.3213297",non
Pharmacie du Progrès,"Rue de la Goutte d'Or, 75018 Paris, France",Non renseigné,non,,,7.244479603795234,"48.8853902, 2.3498085",non
Pharmacie des Galeries Dufayel,"Rue André del Sarte, 75018 Paris, France",Non renseigné,non,,,7.255309336320141,"48.8856441, 2.3472442",non
Pharmacie Boujenah,"Rue Pergolèse, 75116 Paris, France",Non renseigné,non,,,7.275685427993214,"48.8760513, 2.2866166",non
Pharmacie du Moulin,"Rue Tholozé, 75018 Paris, France",Non renseigné,non,,,7.280883794694447,"48.886018, 2.335121",non
Pharmacie du Bateau Lavoir,"Rue Berthe, 75018 Paris, France",Non renseigné,non,,,7.290970196682531,"48.8861637, 2.3381011",non
Pharmacie du Soldat Laboureur,"Rue des Dames, 75017 Paris, France",+33 1 45 22 49 14,non,,,7.295158501361662,"48.8856031, 2.3259033",non
Pharmacie du Dr Levy,"Rue Cardinet, 75017 Paris, France",Non renseigné,non,,,7.298908781322663,"48.881389, 2.3017616",non
Grande Pharmacie Mortier,"Boulevard Mortier, 75020 Paris, France",+33140317545,non,,,7.304595606806009,"48.867548, 2.4092194",non
Pharmacie Malakoff,"Rue Pergolèse, 75116 Paris, France",Non renseigné,non,,,7.306534833776493,"48.8753128, 2.2841014",non
Pharmacie de la Poste,"28 Rue du Télégraphe, 75020 Paris, France",Non renseigné,non,,,7.317464781772135,"48.8732754, 2.3993407",non
Pharmacie de Prony,"Rue de Prony, 75017 Paris, France",Non renseigné,non,,,7.326527377603677,"48.8822367, 2.3040102",non
Pharmacie Emrik,"Rue Théodore de Banville, 75017 Paris, France",Non renseigné,non,,,7.328769242526252,"48.8812543, 2.300208",non
Pharmacie Principale,"Passage Barthélemy, 75010 Paris, France",Non renseigné,non,,,7.337867790973897,"48.8839161, 2.3676644",non
Pharmacie du métro,"Boulevard de la Chapelle, 75018 Paris, France",Non renseigné,non,,,7.354397215270796,"48.8846052, 2.36473",non
Pharmacie de La Croix d'Or,"Rue Legendre, 75017 Paris, France",Non renseigné,non,,,7.355340645443805,"48.8848843, 2.3157039",non
Grande Pharmacie Niel,"Rue Fourcroy, 75017 Paris, France",+33 1 47 54 00 39,non,,,7.357839299251508,"48.880023, 2.29516",non
Pharmacie du village Batignolles,"Rue Bridaine, 75017 Paris, France",Non renseigné,non,,,7.3696311094445885,"48.8856296, 2.3199522",non
Pharmacie de l'Hippodrome,"Rue Cavallotti, 75018 Paris, France",Non renseigné,non,,,7.372114236410588,"48.8864597, 2.3278197",non
Pharmacie Myrha,"Rue Myrha, 75018 Paris, France",Non renseigné,non,,,7.381727095789269,"48.8865819, 2.3505079",non
Pharmacie de la Place des Fêtes,"Place des Fêtes, 75019 Paris, France",+33142398767,non,,,7.383393854317136,"48.8765045, 2.3938469",non
Pharmacie Fourcroy,"Rue Rennequin, 75017 Paris, France",Non renseigné,non,,,7.390074568723851,"48.8813258, 2.2983571",non
Pharmacie Saint-Ferdinand,"Rue Saint-Ferdinand, 75017 Paris, France",Non renseigné,non,,,7.392434042837169,"48.878495, 2.289737",non
Pharmacie Sefiani,"Rue Marx Dormoy, 75018 Paris, France",Non renseigné,non,,,7.392937819720678,"48.8858013, 2.3591698",non
Pharmacie de l'Église,"Place Tristan Bernard, 75017 Paris, France",Non renseigné,non,,,7.397865475399205,"48.879074, 2.291173",non
Pharmacie Saint-Fargeau,"112 Avenue Gambetta, 75020 Paris, France",Non renseigné,non,,,7.409537805111727,"48.8716275, 2.4045199",non
Pharmacie de la Place Saint-Ferdinand,"Rue du Débarcadère, 75017 Paris, France",Non renseigné,non,,,7.425510568104951,"48.8780529, 2.2876728",non
Pharmacie Botzaris des Buttes-Chaumont,"Rue Botzaris, 75019 Paris, France",Non renseigné,non,,,7.430348735292439,"48.8794256, 2.3875724",non
Pharmacie Hadjali,"Rue Cavé, 75018 Paris, France",Non renseigné,non,,,7.433207171197691,"48.8868, 2.3535164",non
Pharmacie de la Porte Maillot,"68 Avenue de la Grande Armée, 75017 Paris, France",Non renseigné,non,,,7.434259463823388,"48.877227, 2.2853859",non
Pharmacie Zribri,"Rue Ramey, 75018 Paris, France",Non renseigné,non,,,7.440289411359869,"48.8872962, 2.3475632",non
Pharmacie centrale du 20ème,"Rue Vidal de la Blache, 75020 Paris, France",Non renseigné,non,,,7.44327995987665,"48.8692431, 2.4092765",non
Pharmacie du Tertre,"1 Rue Cortot, 75018 Paris, France",Non renseigné,non,,,7.444732246607497,"48.8875386, 2.3414422",non
Pharmacie Caillault,"Rue Pierre Demours, 75017 Paris, France",Non renseigné,non,,,7.449305909084794,"48.879672, 2.2913772",non
Pharmacie du Marché Dejean,"Rue de Suez, 75018 Paris, France",Non renseigné,non,,,7.4514288293374165,"48.8871638, 2.3511635",non
Pharmacie des Plantes,"Rue de Courcelles, 75017 Paris, France",Non renseigné,non,,,7.4556441282548676,"48.8823431, 2.2996679",non
Stioui,"71 Avenue de Villiers, 75017 Paris, France",+33 1 47 63 73 94,non,,,7.456195440645201,"48.883655, 2.304729",non
Pharmacie Château Rouge,"Rue Poulet, 75018 Paris, France",Non renseigné,non,,,7.460704071834227,"48.8873365, 2.3499378",non
Pharmacie de Tocqueville,"Rue de Lévis, 75017 Paris, France",+33143801340,non,,,7.461733861497522,"48.8850316, 2.3109009",non
Pharmacie du Square,"Rue Legendre, 75017 Paris, France",Non renseigné,non,,,7.462649520960161,"48.8862038, 2.3178895",non
Pharmacie Bui-Nguyen,"Rue du Docteur Potain, 75019 Paris, France",Non renseigné,non,,,7.4728141086103435,"48.8757327, 2.3977989",non
Pharmacie Burbot,"Rue la Condamine, 75017 Paris, France",Non renseigné,non,,,7.477309647581312,"48.8869964, 2.3232146",non
Pharmacie Zalay,"Rue du Département, 75018 Paris, France",+331 46 07 25 70,non,,,7.503421771333712,"48.8867304, 2.3598075",non
Pharmacie Pariente,"Avenue Jean Jaurès, 75019 Paris, France",Non renseigné,non,,,7.507956247023659,"48.8839077, 2.3750794",non
Lafayette,"Place des Fêtes, 75019 Paris, France",Non renseigné,non,,,7.509818997048963,"48.8772175, 2.3953545",non
Pharmacie Leclerc,"Rue Pierre Demours, 75017 Paris, France",Non renseigné,non,,,7.512030993634818,"48.8814164, 2.2946947",non
Pharmacie Lebon,"Rue Lebon, 75017 Paris, France",Non renseigné,non,,,7.517138322024902,"48.880663, 2.2922492",non
Pharmacie Carnot,"Boulevard Malesherbes, 75017 Paris, France",Non renseigné,non,,,7.524650028719539,"48.8848919, 2.3073085",non
Pharmacie de la Mairie,"Rue Armand Carrel, 75019 Paris, France",Non renseigné,non,,,7.526109833325415,"48.8824225, 2.381271",non
Pharmacie de la Fourche,"Rue Étienne Jodelle, 75018 Paris, France",Non renseigné,non,,,7.54646321388163,"48.8878847, 2.3259177",non
Pharmacie Doudeauville,"Rue Poulet, 75018 Paris, France",Non renseigné,non,,,7.555138825077995,"48.8880916, 2.3513096",non
Pharmacie du 18ème,"Cité de la Chapelle, 75018 Paris, France",Non renseigné,non,,,7.562775627232722,"48.8873089, 2.35955",non
Pharmacie Courcelles - Demours,"Rue Pierre Demours, 75017 Paris, France",Non renseigné,non,,,7.568710493840531,"48.883307, 2.299164",non
Pharmacie Casalonga,"Rue Custine, 75018 Paris, France",Non renseigné,non,,,7.5785432039239415,"48.8885767, 2.3468977",non
Pharmacie Briot,"Rue Jouffroy d'Abbans, 75017 Paris, France",+33147635680,non,,,7.578942385442477,"48.8859245, 2.3098377",non
Pharmacie Espace Conseil,"64 Boulevard Barbès, 75018 Paris, France",+33 1 46 06 02 61,non,,,7.585889836710971,"48.8884734, 2.3498615",non
Pharmacie Legendre,"79 Rue Legendre, 75017 Paris, France",+33183954408,non,,,7.588154977492512,"48.8876375, 2.3200004",non
Pharmacie Berlant,"Rue de Prony, 75017 Paris, France",Non renseigné,non,,,7.596927079576359,"48.883965, 2.3005761",non
Pharmacie Lichte,"43 Rue Caulaincourt, 75018 Paris, France",+33 1 46 06 50 97,non,,,7.6171805851158165,"48.8890228, 2.3343651",non
Pharmacie Bayen,"Rue Bayen, 75017 Paris, France",Non renseigné,non,,,7.620146980528823,"48.8816635, 2.2921283",non
Pharmacie de la Gare,"Rue Jouffroy d'Abbans, 75017 Paris, France",Non renseigné,non,,,7.633905289386424,"48.8871097, 2.3135302",non
Grande Pharmacie de Stalingrad,"Avenue de Flandre, 75019 Paris, France",Non renseigné,non,,,7.638166027225344,"48.8861427, 2.3706463",non
Pharmacie Doudeauville,"25 Rue Doudeauville, 75018 Paris, France",Non renseigné,non,,,7.65787871184654,"48.8886032, 2.3559443",non
Pharmacie Mathieu,"Rue Caulaincourt, 75018 Paris, France",Non renseigné,non,,,7.664685788641196,"48.8895292, 2.3399573",non
Pharmacie de la rotonde,"Rue Félix Ziem, 75018 Paris, France",Non renseigné,non,,,7.668974433690344,"48.8894588, 2.3334837",non
Pharmacie des Ternes,"Avenue des Ternes, 75017 Paris, France",Non renseigné,non,,,7.677579206020274,"48.880474, 2.287142",non
Pharmacie Weinstein,"62 Rue Custine, 75018 Paris, France",+33 1 46 06 20 57,non,,,7.706333298898645,"48.8898586, 2.3432421",non
